step,n
distinct hospital_id,1
blocks transferring between hospitals,0
hospitalizations to load,18522
blocks with more than one IMV episode,5659
  first episode ended by no transition charted,11021
  first episode ended by observed transition to another device,7482
patients contributing more than one block,934
blocks per patient (max),16
blocks with no weight at all,24
blocks whose weight came from after the anchor,1699
blocks with a BMI,14188
patient-window rows,268146
at-risk rows,251695
windows whose total_dose exceeds 25 mcg/kg/hr (bolus stacking),1
at-risk windows with any fentanyl,95312
at-risk windows with a bolus,27255
"blocks with no diagnosis rows (CCI unknown, not 0)",8
blocks with an extubation at or after T,5127
blocks with an unresolved discharge_category,5
  extubation outcome = successful extubation,3364
  extubation outcome = death,1935
  extubation outcome = censored,1432
  30-day analysis: died,2334
