variables,pattern,n,pct
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000000000,70310,23.01
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000000001,23893,7.82
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100000000,19262,6.3
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000000010,10464,3.42
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000001111,9825,3.21
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000000011,9730,3.18
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000000101,8415,2.75
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100000001,8281,2.71
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100001111,8195,2.68
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000000111,7838,2.56
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000001000,6916,2.26
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100000000,6607,2.16
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000001101,6361,2.08
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000000100,6081,1.99
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100001000,5445,1.78
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100001101,5370,1.76
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100000001,4677,1.53
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000001100,4477,1.46
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000001110,4140,1.35
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100000101,4052,1.33
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100001111,3941,1.29
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000000110,3785,1.24
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100001100,3305,1.08
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000111111,3215,1.05
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100000101,3080,1.01
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100001110,3031,0.99
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100000011,2915,0.95
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100000010,2873,0.94
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100000111,2803,0.92
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000001001,2796,0.91
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100001000,2777,0.91
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000001011,2475,0.81
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100111111,2413,0.79
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100001101,2402,0.79
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000100000100,2358,0.77
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000001010,2152,0.7
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,000000110011,2146,0.7
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100000111,2138,0.7
sofa_total|nee|oxygenation|oxygenation_source|imv_status|crrt_status|bun|bicarbonate|pco2_arterial|lactate|inr|bilirubin_total,001100001001,2114,0.69
